Team,Year,Split,G,Cmp,Att,Pct,Yds,TD,Avg,Plays,Pass,Rush,Pen,Tot,No.,Fum,Int
Bowling Green,2022,Difference,,-1.1,-6.9,-4.0,+19.4,-1.1,-0.7,-6.6,-1.5,-2.6,0.0,0.0,+1.9,-0.1,0.0
Buffalo,2024,Offense,13,14.9,41.0,55.9,43.4,1.8,5.3,67.7,7.9,9.2,1.4,1.0,4.5,0.5,0.5
Buffalo,2024,Defense,13,20.7,35.9,61.3,39.5,1.3,5.6,69.7,11.1,7.5,1.7,1.7,4.7,0.7,1.0
Buffalo,2024,Difference,,-5.8,+5.1,-5.4,+3.9,+0.5,-0.3,-2.0,-3.2,+1.7,-0.3,-0.7,-0.2,-0.2,-0.5
Buffalo,2023,Offense,12,17.7,36.3,53.8,41.6,1.3,4.6,69.1,8.4,7.4,1.5,1.5,4.8,0.6,0.9
Buffalo,2023,Defense,12,17.3,36.1,63.3,46.6,1.6,5.8,63.3,8.6,8.3,1.1,1.6,5.4,0.7,0.9
Buffalo,2023,Difference,,+0.4,+0.2,-9.5,-5.0,-0.3,-1.2,+5.8,-0.2,-0.9,+0.4,-0.1,-0.6,-0.1,0.0
Buffalo,2022,Offense,13,21.0,41.5,59.0,51.2,1.7,4.9,77.1,11.0,9.2,1.8,1.4,5.5,0.8,0.6
Buffalo,2022,Defense,13,18.1,33.6,57.2,57.2,1.8,6.1,65.2,9.5,7.3,2.0,2.2,6.6,1.2,1.0
Buffalo,2022,Difference,,+2.9,+7.9,+1.8,-6.0,-0.1,-1.2,+11.9,+1.5,+1.9,-0.2,-0.8,-1.1,-0.4,-0.4
California,2024,Offense,13,23.2,34.2,65.1,59.7,1.3,5.4,69.8,11.9,7.1,1.9,0.8,7.4,0.3,0.5
California,2024,Defense,13,19.2,33.6,56.6,60.3,1.5,5.0,67.6,10.8,5.7,1.8,1.7,6.6,0.4,1.3
California,2024,Difference,,+4.0,+0.6,+8.5,-0.6,-0.2,+0.4,+2.2,+1.1,+1.4,+0.1,-0.9,+0.8,-0.1,-0.8
California,2023,Offense,13,19.8,38.2,59.4,45.2,2.0,5.5,71.6,10.2,8.7,2.6,2.2,5.6,0.9,1.2
California,2023,Defense,13,23.5,35.1,63.0,60.0,1.8,5.7,72.5,12.2,7.7,1.0,2.2,6.5,1.2,0.9
California,2023,Difference,,-3.7,+3.1,-3.6,-14.8,+0.2,-0.2,-0.9,-2.0,+1.0,+1.6,0.0,-0.9,-0.3,+0.3
California,2022,Offense,12,24.3,26.6,62.4,44.6,0.8,5.6,65.4,11.6,5.7,2.0,1.0,5.3,0.3,0.8
California,2022,Defense,12,25.0,35.5,65.6,54.0,1.6,5.8,73.6,13.5,8.9,1.0,1.5,6.0,0.6,0.9
California,2022,Difference,,-0.7,-8.9,-3.2,-9.4,-0.8,-0.2,-8.2,-1.9,-3.2,+1.0,-0.5,-0.7,-0.3,-0.1
Central Michigan,2024,Offense,12,13.9,37.3,55.3,60.9,1.4,5.3,62.4,6.9,8.8,2.3,1.8,6.8,0.8,1.0
Central Michigan,2024,Defense,12,16.4,37.1,60.1,58.8,1.7,5.6,64.4,8.8,8.3,2.1,0.4,6.4,0.3,0.2
Central Michigan,2024,Difference,,-2.5,+0.2,-4.8,+2.1,-0.3,-0.3,-2.0,-1.9,+0.5,+0.2,+1.4,+0.4,+0.5,+0.8
Central Michigan,2023,Offense,12,15.3,37.9,56.3,58.1,1.8,5.3,65.0,7.5,9.2,2.3,1.3,6.7,0.4,0.9
Central Michigan,2023,Defense,12,18.6,34.3,61.9,63.7,2.0,6.3,64.3,10.0,8.4,1.8,0.7,7.3,0.3,0.4
Central Michigan,2023,Difference,,-3.3,+3.6,-5.6,-5.6,-0.2,-1.0,+0.7,-2.5,+0.8,+0.5,+0.6,-0.6,+0.1,+0.5
Central Michigan,2022,Offense,12,18.3,36.9,56.6,63.2,1.8,5.3,69.2,9.8,7.9,2.3,2.3,7.0,1.5,0.8
Central Michigan,2022,Defense,12,19.1,39.8,59.5,69.1,1.7,5.2,71.9,10.4,8.8,1.3,0.8,7.1,0.5,0.3
Central Michigan,2022,Difference,,-0.8,-2.9,-2.9,-5.9,+0.1,+0.1,-2.7,-0.6,-0.9,+1.0,+1.5,-0.1,+1.0,+0.5
Cincinnati,2024,Offense,12,21.0,35.6,63.8,44.4,1.6,6.1,68.5,11.7,9.0,1.4,1.5,5.3,0.9,0.6
Cincinnati,2024,Defense,12,17.8,34.5,61.2,42.9,1.3,6.1,63.5,9.6,7.7,1.5,1.2,5.4,0.8,0.4
Cincinnati,2024,Difference,,+3.2,+1.1,+2.6,+1.5,+0.3,0.0,+5.0,+2.1,+1.3,-0.1,+0.3,-0.1,+0.1,+0.2
Cincinnati,2023,Offense,12,18.2,43.1,60.6,52.6,1.2,5.8,73.1,9.8,11.5,0.9,1.4,5.7,0.5,0.9
Cincinnati,2023,Defense,12,15.5,33.1,56.7,36.4,2.0,6.7,60.4,8.8,9.1,1.9,1.1,5.0,0.4,0.7
Cincinnati,2023,Difference,,+2.7,+10.0,+3.9,+16.2,-0.8,-0.9,+12.7,+1.0,+2.4,-1.0,+0.3,+0.7,+0.1,+0.2
Cincinnati,2022,Offense,13,19.1,32.8,59.8,64.4,1.5,5.8,64.7,11.2,6.5,0.8,1.2,7.5,0.6,0.6
Cincinnati,2022,Defense,13,16.5,42.5,55.0,33.5,1.4,4.6,72.6,8.8,9.0,2.7,1.6,3.8,0.8,0.8
Cincinnati,2022,Difference,,+2.6,-9.7,+4.8,+30.9,+0.1,+1.2,-7.9,+2.4,-2.5,-1.9,-0.4,+3.7,-0.2,-0.2
Clemson,2024,Offense,14,23.6,33.8,62.1,47.6,1.6,6.3,71.9,12.1,9.9,2.0,0.7,4.9,0.2,0.5
Clemson,2024,Defense,14,18.8,34.1,56.3,55.1,1.3,5.5,67.4,9.5,8.4,2.6,1.9,6.1,0.7,1.1
Clemson,2024,Difference,,+4.8,-0.3,+5.8,-7.5,+0.3,+0.8,+4.5,+2.6,+1.5,-0.6,-1.2,-1.2,-0.5,-0.6
