School,Year,W,L,Pct,Year Link
South Alabama,2022,10,3,.769,https://www.sports-reference.com/cfb/schools/south-alabama/2022.html
South Carolina,2024,9,4,.692,https://www.sports-reference.com/cfb/schools/south-carolina/2024.html
South Carolina,2023,5,7,.417,https://www.sports-reference.com/cfb/schools/south-carolina/2023.html
South Carolina,2022,8,5,.615,https://www.sports-reference.com/cfb/schools/south-carolina/2022.html
South Florida,2024,7,6,.538,https://www.sports-reference.com/cfb/schools/south-florida/2024.html
South Florida,2023,7,6,.538,https://www.sports-reference.com/cfb/schools/south-florida/2023.html
South Florida,2022,1,11,.083,https://www.sports-reference.com/cfb/schools/south-florida/2022.html
Southern Mississippi,2024,1,11,.083,https://www.sports-reference.com/cfb/schools/southern-mississippi/2024.html
Southern Mississippi,2023,3,9,.250,https://www.sports-reference.com/cfb/schools/southern-mississippi/2023.html
Southern Mississippi,2022,7,6,.538,https://www.sports-reference.com/cfb/schools/southern-mississippi/2022.html
Stanford,2024,3,9,.250,https://www.sports-reference.com/cfb/schools/stanford/2024.html
Stanford,2023,3,9,.250,https://www.sports-reference.com/cfb/schools/stanford/2023.html
Stanford,2022,3,9,.250,https://www.sports-reference.com/cfb/schools/stanford/2022.html
Syracuse,2024,10,3,.769,https://www.sports-reference.com/cfb/schools/syracuse/2024.html
Syracuse,2023,6,7,.462,https://www.sports-reference.com/cfb/schools/syracuse/2023.html
Syracuse,2022,7,6,.538,https://www.sports-reference.com/cfb/schools/syracuse/2022.html
Temple,2024,3,9,.250,https://www.sports-reference.com/cfb/schools/temple/2024.html
Temple,2023,3,9,.250,https://www.sports-reference.com/cfb/schools/temple/2023.html
Temple,2022,3,9,.250,https://www.sports-reference.com/cfb/schools/temple/2022.html
Tennessee,2024,10,3,.769,https://www.sports-reference.com/cfb/schools/tennessee/2024.html
Tennessee,2023,9,4,.692,https://www.sports-reference.com/cfb/schools/tennessee/2023.html
Tennessee,2022,11,2,.846,https://www.sports-reference.com/cfb/schools/tennessee/2022.html
Texas,2024,13,3,.813,https://www.sports-reference.com/cfb/schools/texas/2024.html
Texas,2023,12,2,.857,https://www.sports-reference.com/cfb/schools/texas/2023.html
Texas,2022,8,5,.615,https://www.sports-reference.com/cfb/schools/texas/2022.html
Texas A&M,2024,8,5,.615,https://www.sports-reference.com/cfb/schools/texas-am/2024.html
Texas A&M,2023,7,6,.538,https://www.sports-reference.com/cfb/schools/texas-am/2023.html
Texas A&M,2022,5,7,.417,https://www.sports-reference.com/cfb/schools/texas-am/2022.html
Texas Christian,2024,9,4,.692,https://www.sports-reference.com/cfb/schools/texas-christian/2024.html
Texas Christian,2023,5,7,.417,https://www.sports-reference.com/cfb/schools/texas-christian/2023.html
Texas Christian,2022,13,2,.867,https://www.sports-reference.com/cfb/schools/texas-christian/2022.html
