Team,Year,Team ID,Split,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
Oklahoma State,2022,521,All Games,13,498,286,57.4,3350,6.7,24,13,124.62,38.3,257.7
Old Dominion,2024,523,All Games,12,374,228,61.0,2854,7.6,23,12,138.94,31.2,237.8
Old Dominion,2023,523,All Games,13,448,294,65.6,3257,7.3,28,11,142.42,34.5,250.5
Old Dominion,2022,523,All Games,12,358,232,64.8,2931,8.2,17,12,142.54,29.8,244.3
Ole Miss,2024,433,All Games,13,447,267,59.7,3000,6.7,13,12,120.33,34.4,230.8
Ole Miss,2023,433,All Games,13,414,252,60.9,2983,7.2,17,13,128.66,31.8,229.5
Ole Miss,2022,433,All Games,13,431,274,63.6,2858,6.6,22,8,132.40,33.2,219.8
Oregon,2024,529,All Games,14,420,234,55.7,2603,6.2,15,12,113.84,30.0,185.9
Oregon,2023,529,All Games,14,492,296,60.2,3022,6.1,16,12,117.60,35.1,215.9
Oregon,2022,529,All Games,13,467,297,63.6,3333,7.1,24,16,133.66,35.9,256.4
Oregon State,2024,528,All Games,12,317,190,59.9,2569,8.1,15,5,140.48,26.4,214.1
Oregon State,2023,528,All Games,13,426,264,62.0,3066,7.2,23,12,134.61,32.8,235.8
Oregon State,2022,528,All Games,13,459,266,58.0,2919,6.4,11,12,114.05,35.3,224.5
Penn State,2024,539,All Games,16,475,285,60.0,3086,6.5,18,20,118.65,29.7,192.9
Penn State,2023,539,All Games,13,340,199,58.5,2237,6.6,10,12,116.44,26.2,172.1
Penn State,2022,539,All Games,13,476,248,52.1,2760,5.8,12,14,103.24,36.6,212.3
Pitt,2024,545,All Games,13,478,283,59.2,3450,7.2,22,13,129.59,36.8,265.4
Pitt,2023,545,All Games,12,317,197,62.1,2537,8.0,16,10,139.73,26.4,211.4
Pitt,2022,545,All Games,13,450,251,55.8,3015,6.7,23,14,122.71,34.6,231.9
Purdue,2024,559,All Games,12,331,218,65.9,3032,9.2,27,4,167.30,27.6,252.7
Purdue,2023,559,All Games,12,370,201,54.3,2898,7.8,21,10,133.43,30.8,241.5
Purdue,2022,559,All Games,14,415,238,57.3,3149,7.6,28,15,136.13,29.6,224.9
Rice,2024,574,All Games,12,325,180,55.4,2086,6.4,18,8,122.66,27.1,173.8
Rice,2023,574,All Games,13,378,220,58.2,2751,7.3,17,5,131.53,29.1,211.6
Rice,2022,574,All Games,13,345,210,60.9,2712,7.9,29,8,150.00,26.5,208.6
Rutgers,2024,587,All Games,13,427,256,60.0,3004,7.0,18,8,129.20,32.8,231.1
Rutgers,2023,587,All Games,13,373,223,59.8,2292,6.1,16,9,120.74,28.7,176.3
Rutgers,2022,587,All Games,12,381,224,58.8,2482,6.5,15,9,121.78,31.8,206.8
SMU,2024,663,All Games,14,494,278,56.3,3161,6.4,24,16,119.58,35.3,225.8
SMU,2023,663,All Games,14,428,247,57.7,2551,6.0,17,12,115.27,30.6,182.2
SMU,2022,663,All Games,13,399,227,56.9,2961,7.4,25,10,134.90,30.7,227.8
San Diego State,2024,626,All Games,12,343,223,65.0,2569,7.5,21,7,144.06,28.6,214.1
San Diego State,2023,626,All Games,12,392,222,56.6,2894,7.4,16,12,126.00,32.7,241.2
San Diego State,2022,626,All Games,13,416,255,61.3,2715,6.5,21,13,126.53,32.0,208.8
San Jose State,2024,630,All Games,13,435,268,61.6,3027,7.0,16,21,122.55,33.5,232.8
San Jose State,2023,630,All Games,13,359,219,61.0,2379,6.6,19,12,127.44,27.6,183.0
San Jose State,2022,630,All Games,12,351,213,60.7,2612,7.4,15,14,129.31,29.3,217.7
South Alabama,2024,646,All Games,13,430,278,64.7,3235,7.5,18,16,134.21,33.1,248.8
South Alabama,2022,646,All Games,13,470,281,59.8,3112,6.6,22,13,125.33,36.2,239.4
South Carolina,2024,648,All Games,13,397,229,57.7,2657,6.7,10,14,115.16,30.5,204.4
South Carolina,2023,648,All Games,12,401,245,61.1,2955,7.4,16,10,131.18,33.4,246.3
South Carolina,2022,648,All Games,13,404,217,53.7,2687,6.7,24,15,121.76,31.1,206.7
South Florida,2024,651,All Games,13,471,277,58.8,3624,7.7,23,12,134.45,36.2,278.8
South Florida,2023,651,All Games,13,466,279,59.9,3754,8.1,29,14,142.07,35.8,288.8
South Florida,2022,651,All Games,12,375,275,73.3,3384,9.0,25,6,167.93,31.3,282.0
Southern Mississippi,2024,664,All Games,12,321,209,65.1,2598,8.1,24,6,154.02,26.8,216.5
Southern Mississippi,2023,664,All Games,12,325,189,58.2,2904,8.9,23,9,151.01,27.1,242.0
Southern Mississippi,2022,664,All Games,13,410,244,59.5,3034,7.4,21,17,130.28,31.5,233.4
Stanford,2024,674,All Games,12,398,263,66.1,3367,8.5,31,9,158.32,33.2,280.6
