Team,Year,Team ID,Split,G,Att,Yards,Avg.,TD,Att/G,Yards/G
Florida State,2022,234,All Games,13,514,2033,3.96,14,39.54,156.38
Fresno State,2024,96,All Games,13,474,1812,3.82,14,36.46,139.38
Fresno State,2023,96,All Games,13,499,2160,4.33,16,38.38,166.15
Fresno State,2022,96,All Games,14,490,2096,4.28,17,35.00,149.71
Georgia,2024,257,All Games,14,489,1815,3.71,14,34.93,129.64
Georgia,2023,257,All Games,14,422,1591,3.77,13,30.14,113.64
Georgia,2022,257,All Games,15,401,1155,2.88,7,26.73,77.00
Georgia Southern,2024,253,All Games,13,447,2210,4.94,23,34.38,170.00
Georgia Southern,2023,253,All Games,13,454,2098,4.62,30,34.92,161.38
Georgia Southern,2022,253,All Games,13,542,3002,5.54,29,41.69,230.92
Georgia State,2024,254,All Games,12,483,2524,5.23,28,40.25,210.33
Georgia State,2023,254,All Games,13,442,1896,4.29,18,34.00,145.85
Georgia State,2022,254,All Games,12,476,2046,4.30,22,39.67,170.50
Georgia Tech,2024,255,All Games,13,390,1588,4.07,15,30.00,122.15
Georgia Tech,2023,255,All Games,13,535,2877,5.38,28,41.15,221.31
Georgia Tech,2022,255,All Games,12,500,2270,4.54,20,41.67,189.17
Hawaii,2024,277,All Games,12,426,1988,4.67,20,35.50,165.67
Hawaii,2023,277,All Games,13,481,2222,4.62,26,37.00,170.92
Hawaii,2022,277,All Games,13,495,2773,5.60,28,38.08,213.31
Houston,2024,288,All Games,12,416,1631,3.92,14,34.67,135.92
Houston,2023,288,All Games,12,467,2023,4.33,27,38.92,168.58
Houston,2022,288,All Games,13,449,1859,4.14,18,34.54,143.00
Illinois,2024,301,All Games,13,441,1929,4.37,12,33.92,148.38
Illinois,2023,301,All Games,12,459,1790,3.90,19,38.25,149.17
Illinois,2022,301,All Games,13,395,1297,3.28,6,30.38,99.77
Indiana,2024,306,All Games,13,381,1043,2.74,12,29.31,80.23
Indiana,2023,306,All Games,12,448,1875,4.19,18,37.33,156.25
Indiana,2022,306,All Games,12,507,2101,4.14,19,42.25,175.08
Iowa,2024,312,All Games,13,406,1499,3.69,4,31.23,115.31
Iowa,2023,312,All Games,14,498,1565,3.14,7,35.57,111.79
Iowa,2022,312,All Games,13,465,1317,2.83,4,35.77,101.31
Iowa State,2024,311,All Games,14,493,2637,5.35,19,35.21,188.36
Iowa State,2023,311,All Games,13,456,1745,3.83,12,35.08,134.23
Iowa State,2022,311,All Games,12,403,1288,3.20,8,33.58,107.33
Kansas,2024,328,All Games,12,412,1842,4.47,10,34.33,153.50
Kansas,2023,328,All Games,13,472,2100,4.45,26,36.31,161.54
Kansas,2022,328,All Games,13,564,2719,4.82,37,43.38,209.15
Kansas State,2024,327,All Games,13,433,1543,3.56,15,33.31,118.69
Kansas State,2023,327,All Games,13,403,1917,4.76,15,31.00,147.46
Kansas State,2022,327,All Games,14,485,2111,4.35,15,34.64,150.79
Kent State,2024,331,All Games,12,539,3179,5.90,36,44.92,264.92
Kent State,2023,331,All Games,12,460,2113,4.59,31,38.33,176.08
Kent State,2022,331,All Games,12,496,1921,3.87,19,41.33,160.08
Kentucky,2024,334,All Games,12,436,1942,4.45,20,36.33,161.83
Kentucky,2023,334,All Games,13,450,1470,3.27,19,34.62,113.08
Kentucky,2022,334,All Games,13,433,1828,4.22,16,33.31,140.62
LSU,2024,365,All Games,13,425,1821,4.28,26,32.69,140.08
LSU,2023,365,All Games,13,462,2093,4.53,24,35.54,161.00
LSU,2022,365,All Games,14,507,2077,4.10,18,36.21,148.36
Louisiana,2024,671,All Games,14,477,2159,4.53,20,34.07,154.21
Louisiana,2023,671,All Games,13,575,2221,3.86,24,44.23,170.85
Louisiana,2022,671,All Games,13,464,1841,3.97,18,35.69,141.62
Louisiana Tech,2024,366,All Games,13,491,1762,3.59,21,37.77,135.54
Louisiana Tech,2023,366,All Games,12,506,2794,5.52,32,42.17,232.83
Louisiana Tech,2022,366,All Games,12,477,2918,6.12,34,39.75,243.17
Louisiana-Monroe,2024,498,All Games,12,494,2401,4.86,27,41.17,200.08
Louisiana-Monroe,2023,498,All Games,12,490,2051,4.19,21,40.83,170.92
Louisiana-Monroe,2022,498,All Games,12,482,2337,4.85,29,40.17,194.75
Louisville,2024,367,All Games,13,464,1723,3.71,15,35.69,132.54
Louisville,2023,367,All Games,14,419,1397,3.33,13,29.93,99.79
Louisville,2022,367,All Games,13,486,1742,3.58,13,37.38,134.00
Marshall,2024,388,All Games,13,527,2327,4.42,21,40.54,179.00
Marshall,2023,388,All Games,13,467,2022,4.33,20,35.92,155.54
Marshall,2022,388,All Games,13,419,1209,2.89,10,32.23,93.00
Maryland,2024,392,All Games,12,427,1641,3.84,19,35.58,136.75
Maryland,2023,392,All Games,13,480,1631,3.40,14,36.92,125.46
